,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score
BAJFINANCE,0.48866487624735416,0.7644664027299911,1.4713429020662758,1.9383518482588107,1.464354795605971,1.5582928285882627,0.5307418531811764,0.6987316669056866,1.0009343278328362,1.2266659104173951,1.0991559522373229,1.7213141394710654,1.4700702860567794,1.008213270422774,1.2391417782397767
HDFCBANK,0.7328493852216705,1.4605321385933965,0.7541156172602483,2.4761922704686548,1.6290873231764835,0.5499393661632204,0.6447502363917764,0.9502851801701006,0.7259169232553978,1.6087358890242118,1.7399966797732298,1.0801678040157079,1.4120219174894,1.0356362643689825,1.2238290909291911
PNBHOUSING,0.7390428631311058,1.457650776821635,1.598611708184709,0.5853150412644915,0.40393799456413004,0.7964400832995931,0.7384904024095756,1.3633597823667152,1.5138602581398248,0.39757975902529263,0.3429196125687458,0.5453601393372711,1.266430521836029,1.1488760132508433,1.2076532675434362
ICICIBANK,1.5392982708522445,1.5406784133448335,1.0751361777464015,1.5127318134847973,0.8938016286712256,0.6371134588098719,0.8353962448672098,0.9587102706306229,0.8213335144658043,1.6776642002634699,1.9406340828519395,1.5867422656693968,1.2995233155876067,1.1057080714380676,1.2026156935128371
KOTAKBANK,0.622227084700325,0.8770843367064501,0.9739238789347009,2.2133847554104173,1.603170056301157,1.0271517241065025,0.6304900855645256,0.7997827214266092,0.7915034373359531,1.7340806655903303,1.673272830455303,1.2251460756492614,1.3263942334317655,1.0759324626303974,1.2011633480310815
AAVAS,0.5380855200138978,1.761548879116512,0.931128815386725,1.732307255388537,1.3956038281236602,0.9776742142586173,0.6350543380818366,1.4895535834388403,0.7931838847944463,1.1975811201869218,0.9791958638070862,0.7933426354496594,1.337566360133226,1.0537769951410678,1.1956716776371468
5PAISA,0.7637315747097854,0.5182195943783313,1.2932558870330204,1.7547064722740613,1.3152888477336149,1.2053624960864873,0.9262532088252503,0.6178961398492996,1.0478340558041475,1.5513473652448928,1.5072066306136989,0.6028151784463807,1.2766838040743949,1.1129004654454016,1.1947921347598982
DELPHIFX,0.38749656446701863,0.7929112794059548,1.3919960971622702,1.8734685601660535,0.7618398492758189,1.672008530483966,0.45564419811117723,0.8922528416282537,1.137157649796318,0.6395804425001386,0.32144850501245925,0.4545123403089115,1.416620872512142,0.9389035259738514,1.1777621992429967
APTUS,0.6841538011268026,0.717591011797208,0.8829984039237533,2.0690306370789022,1.6164369221869959,0.5968938089772723,0.7323041775762897,0.7406578768804624,0.7793269404363377,2.032521125496501,2.524721404150232,0.6862599949435482,1.205726595444989,1.1475513832432116,1.1766389893441003
VHL,0.8835687440544672,1.489893612580965,0.8391051783056208,1.4417423822211297,1.7376818549036148,0.4147505256837712,1.010570900319666,1.6710521974590098,0.7934330224114465,1.5341565092228389,2.117288659736439,0.47478265738145464,1.1500540263353423,1.191173903464377,1.1706139648998595
MUTHOOTFIN,1.8316465620918188,1.4873412906477965,1.362806681805953,0.9456355178428056,0.7127868384244649,0.6989034464177744,1.2205757485387771,1.0632021786213806,1.007023120656358,0.8168408204761511,0.5957810410362909,0.9186977445315834,1.2625622543853774,0.9612042421953004,1.111883248290339
DOLATALGO,2.4026333116192755,2.17828664726098,0.9677983451205402,0.3685798110927282,0.4193554339732405,0.8426438237629981,3.168017608730905,2.858228359200219,0.9753069656791264,0.30396987898949646,0.2770667025611769,0.3798297655970998,1.0301304453402846,1.150490118376456,1.0903102818583703
360ONE,2.3479187808296276,1.8632783258866366,1.1796511243838075,0.5243622845402284,0.5894078250541431,1.074631834157337,2.048248360340991,1.6588010150971,1.0562196390942726,0.6685296740950913,1.3700598554273888,2.8189386767206055,1.1197899127312996,1.0604289247950838,1.0901094187631917
BAJAJHLDNG,1.6094317408245593,1.7669597763921248,1.1939310335058755,0.6122486022676749,0.8260386486789547,1.1259036713820005,1.2966268571143003,1.3613701069958937,0.9489833540705378,0.6993964191548229,1.4747715228168332,1.3163489103889394,1.1340320527116652,0.9565846241808944,1.0453083384462798
AXISBANK,0.7556719836185658,1.2319725130306143,0.5663018140638608,1.8490849355721055,0.8565490376137458,0.7382623673000125,0.6455561160560338,0.8649644656107481,0.6425783936008579,1.638941299517791,1.4676023070039153,1.942790485896722,1.084270890309685,0.9859644797779159,1.0351176850438004
NAM-INDIA,2.1945475693664314,1.5678193009001569,0.9734665762860241,0.9256812575051085,1.3638786716578,1.224454248771373,1.8683426130758267,1.385322975801017,0.9024776292393778,0.840268139956921,1.6597629420856461,0.7789581403255419,1.078001525574576,0.9803838517669686,1.0291926886707723
SBICARD,0.4842290670666518,1.0955162585141947,1.3455308469155254,0.9986579730245422,0.8261916347284562,1.2102619345005134,0.6050380329501248,0.886750340657464,0.9283622051800656,0.6517807796831574,0.8378709982065445,1.7519729122402377,1.1914660670679642,0.8370654046264728,1.0142657358472185
UGROCAP,0.4771204650072996,0.6686015285556183,0.5662055784449845,2.0438533354722246,0.6773858635397125,0.7249663948690159,0.5125729793600196,0.6719895614821139,0.6009070748311699,1.8211073544024656,0.7766220256001529,1.2577891438758564,1.0299790955752832,0.9811836560327474,1.0055813758040153
ANGELONE,0.7877315099706801,0.47768078048314633,1.1183933733179312,1.168384464076657,0.9970260838402184,1.62562386432811,0.7792071548347452,0.44540463474861536,1.1362999428151515,1.1113803965658031,0.6103717917463122,0.48948840594663684,1.005248181978592,0.9906450173270398,0.9979465996528158
SMCGLOBAL,1.8989405552685104,0.9935642772030064,0.758077993399223,1.313195760531061,0.5152950698447627,0.34406497967426214,1.9138593659647842,0.9345420011352016,0.7310062708707535,1.4528681405267214,0.7455773217189187,0.5111489121733119,0.971710580299531,0.9882719778204335,0.9799912790599823
BFINVEST,0.6461155053924593,0.7754522189605414,0.5545707699262851,1.5070370768684735,1.3950657357025387,0.886900537241365,0.6230784753197433,0.7439368972978913,0.5861003672761378,2.0604413774178414,2.7515816318632558,2.0592229391633725,0.884486951815793,1.0599699763229995,0.9722284640693962
IIFL,0.4433024046777302,1.3850139092694826,0.5687644906941502,1.0670253932204956,0.5161140286728186,0.5336797899529051,0.4461407671092493,1.4947329552289461,0.5539530179787875,1.5804339049105283,0.9259541210830291,0.9120941530191303,0.8814926451671203,1.0500532715083413,0.9657729583377308
CANFINHOME,0.6853415542536249,0.9415997274123927,0.8111306066207516,1.2406336401359233,1.618765839009785,2.7171083004682743,0.6066891801178929,0.7745266309212094,0.775772873705854,1.4063044971192094,1.3744572701778635,1.4338357511577848,0.9660753408336313,0.9646831121729318,0.9653792265032816
CRISIL,0.7249965548197318,0.5652538001521515,1.3194128011747845,1.1340719031082687,0.8659717863205793,1.7829457678641254,0.8964729304201854,0.7046341527067305,0.9401007464758568,0.6620965227082084,0.4822480520988284,0.6416591711735361,1.112978731550303,0.8096061605917371,0.96129244607102
GICRE,1.2576053225953494,0.9433151426902202,0.825887949507326,0.8728786265119727,1.0671154138538579,0.9563893099368175,1.3814229054153144,0.8972903869480756,0.8205382137816023,1.3626740436099463,1.6140785111564142,1.4264146445294519,0.8634705912452988,0.9985293973634002,0.9309999943043494
IFCI,2.1272610414271544,1.2884184683183324,0.89520959449447,0.43470399273294374,0.4160636221693535,0.7676164096157861,2.9028607882618527,1.627534822871362,0.952587142285272,0.3931991002084059,0.47722180319539736,0.5734430264567036,0.8356996887307846,0.9197602657794302,0.8777299772551074
REPCOHOME,0.7687217230619511,1.0247210723356797,0.6549148961236898,1.4344644973377556,0.7897789917977139,0.935557581845766,0.7700098282451152,0.9221792888357011,0.6606856522481408,0.8860710525347933,0.6380178439709695,0.8780684716253382,0.9627410117303076,0.7805999996516486,0.8716705056909781
POONAWALLA,0.5519518883915624,0.4173328247573873,0.6306077603303143,1.7327152867317128,1.381307983305443,1.0651354175327408,0.5999285423528967,0.47736623257583993,0.6416150445397927,1.2906621927963589,1.07415629405503,0.7294668700620014,0.9185850311361483,0.803479426623972,0.8610322288800601
MAXIND,1.6702771331097814,1.2836563588441354,0.4298187667405698,1.2914496371505493,2.138317194019611,1.732248698524713,2.029239715359459,1.4076073521770156,0.44880680367745107,1.0878649366577529,1.7001716505555557,0.6533056222104215,0.8590755462842767,0.8322843532714546,0.8456799497778656
KARURVYSYA,1.5466934428978454,0.9388352481909598,0.9749683102963039,0.688259024496111,1.3287714454037889,0.509607251077731,1.178154947220982,0.8047470463396528,0.8473878772729112,0.7215049766331564,1.1202430849031422,0.6910740222921595,0.8817289121351772,0.801094840894333,0.8414118765147551
ANANDRATHI,3.1318428944379555,0.9250871406336679,0.7386127696277736,1.1952803468423399,0.9460434539693106,1.1616123127042173,2.6079154504289264,0.9034204224650567,0.7118664340183739,0.739101864915509,0.7451635488103895,0.6673238066326234,0.9129079169933223,0.758347860976851,0.8356278889850867
HDFCAMC,1.8387029292791972,1.058424650336029,1.0017450388773355,0.584474691571625,0.8162029395841748,0.9380585665068069,1.1555427221050878,0.8222837000865137,0.820791846078764,0.6814585906580843,1.2387831590241416,2.0513622624321615,0.887899856977361,0.77929024025411,0.8335950486157355
CANBK,1.2511213047354177,0.5475263892262167,0.5770213561564778,1.2011754970065682,1.9243732492068437,1.5748230197417055,0.8052281909383711,0.5130839555179542,0.6261296291706757,1.5750280287655336,2.0185646262231263,2.034449407179885,0.7583686050254527,0.8881900143185888,0.8232793096720208
WILLAMAGOR,0.6634718539400792,0.6559010867943549,0.6970977068751113,1.2555784757376385,1.3778169069451658,2.4136157006960683,0.8227351541631195,0.6784241598169468,0.6721318374125304,0.9867875209054443,0.6291237982866473,1.8469424827381702,0.8564026135177182,0.7677870069412878,0.8120948102295029
MASFIN,0.4745281832834545,0.5901395197981109,0.717268727253126,1.2407522223327152,0.729708067653757,0.9151261565164698,0.6210805212565329,0.6896766496050271,0.6993044257261017,0.8796529525548977,0.6599500527011776,0.5840871515478738,0.8488879342859996,0.7514834285505256,0.8001856814182626
BANKBARODA,0.6652580465660473,0.5487153592891687,0.507176436755372,1.3705874107834723,2.112321665632691,1.9797188268063435,0.5517776757329301,0.5096861546809792,0.584745259235537,1.3851510537331038,1.5939683886565166,1.5531093823884217,0.7745075134705615,0.8098551766738955,0.7921813450722285
ONELIFECAP,0.5849349883612821,0.35159677028842057,0.9898579221640303,0.97252053625108,0.20214666904819523,0.3753892406122675,0.6685249593854905,0.3787188287333607,0.892045308562335,0.6503525941133746,0.2728067170603087,0.4690380669447518,0.8570044760150233,0.7168721982618521,0.7869383371384377
